,time,Sid,HRCount,FanEngageScore,TapCounts,WaveCounts,WhistlesRedeemed,HRDeviceTypeId,Id,Retweet count,polarity_C,subjectivity,sentiment,highlights
134,30-04-2021 21:43,65,72.33333333,5.6,539.3333333,74.66666667,456,3,1.39E+18,40.16346154,0.10289797,0.207852564,0.201923077,1
135,30-04-2021 21:44,65,81.33333333,6.3,539.3333333,74.66666667,456,3,1.39E+18,135.4698795,0.228162651,0.301606426,0.602409639,1
136,30-04-2021 21:45,65,84,6.466666667,539.3333333,74.66666667,456,3,1.39E+18,35.16666667,0.095459402,0.268162393,0.076923077,1
137,30-04-2021 21:46,65,83,6.466666667,539.3333333,74.66666667,456,3,1.39E+18,14.70454545,0.095201326,0.213328647,0.318181818,0
138,30-04-2021 21:47,65,70,5.6,539.3333333,74.66666667,456,3,1.39E+18,57.625,0.114441758,0.214405589,0.322916667,0
139,30-04-2021 21:48,65,89.66666667,6.633333333,539.3333333,74.66666667,456,3,1.39E+18,41.89705882,0.051523109,0.245938375,0.014705882,1
140,30-04-2021 21:49,65,71.33333333,5.6,539.3333333,74.66666667,456,3,1.39E+18,85.77419355,0.091285842,0.332168459,-0.016129032,4
141,30-04-2021 21:50,97,80,6.3,947.5,72,11.5,3,1.39E+18,119.0823529,0.118137255,0.203333333,0.188235294,1
142,30-04-2021 21:51,97,84,6.55,794.5,59,9,3,1.39E+18,33.73255814,0.081054733,0.221602654,0.360465116,0
143,30-04-2021 21:52,97,74.5,5.25,794.5,59,9,3,1.39E+18,44.66666667,0.130952381,0.176190476,0.214285714,1
144,30-04-2021 21:53,97,91,6.7,841,59,9,3,1.39E+18,33.375,-0.036399711,0.294394841,-0.035714286,1
145,30-04-2021 21:54,97,90.5,6.55,841,59,9,3,1.39E+18,28.27631579,0.103539863,0.347191843,0.289473684,-3
146,30-04-2021 21:55,97,91,6.55,841,59,9,3,1.39E+18,16.90598291,0.076713718,0.208167142,0.196581197,6
147,30-04-2021 21:56,97,73.5,5.25,841,59,9,3,1.39E+18,19.12962963,0.081630291,0.185449735,0.12037037,0
148,30-04-2021 21:57,97,82,6.55,841,59,9,3,1.39E+18,51.98181818,0.089097796,0.289669421,0.418181818,2
149,30-04-2021 21:58,97,88.5,6.55,841,59,9,3,1.39E+18,6.943181818,0.050769601,0.118891294,0.193181818,1
150,30-04-2021 21:59,97,83,6.55,841,59,9,3,1.39E+18,61.74576271,0.129676554,0.309299435,0.144067797,1
151,30-04-2021 22:00,65,82.33333333,6.466666667,570.3333333,75.33333333,456,3,1.39E+18,131.5104167,0.179552219,0.31529187,0.46875,0
152,30-04-2021 22:01,65,85,6.466666667,570.3333333,75.33333333,456,3,1.39E+18,83.15151515,0.073232323,0.138888889,0.151515152,1
153,30-04-2021 22:02,65,86.33333333,6.466666667,570.3333333,75.33333333,456,3,1.39E+18,43.09210526,0.110608553,0.2125,0.263157895,4
154,30-04-2021 22:03,65,76.33333333,5.6,570.3333333,75.33333333,456,3,1.39E+18,27.47692308,0.073594739,0.175401265,0.246153846,0
