time,Sid,HRCount,FanEngageScore,TapCounts,WaveCounts,WhistlesRedeemed,TeamName,HRDeviceTypeId
30-04-2021 19:51,42,85,6.3,1266,92,13,Bangalore,3
30-04-2021 19:52,42,97,6.8,1266,92,13,Bangalore,3
30-04-2021 19:53,42,96,6.8,1266,92,13,Bangalore,3
30-04-2021 19:54,42,96,6.8,1266,92,13,Bangalore,3
30-04-2021 19:55,42,85,6.3,1266,92,13,Bangalore,3
30-04-2021 19:56,42,89,6.3,1266,92,13,Bangalore,3
30-04-2021 19:57,42,60,4.2,1266,92,13,Bangalore,3
30-04-2021 19:58,42,93,6.8,1266,92,13,Bangalore,3
30-04-2021 19:59,42,93,6.8,1266,92,13,Bangalore,3
30-04-2021 20:00,42,57,4.2,1266,92,13,Bangalore,3
30-04-2021 20:01,42,96,6.8,1266,92,13,Bangalore,3
30-04-2021 20:10,42,85,6.3,1266,92,13,Bangalore,3
30-04-2021 20:44,42,94,7.1,1283,92,13,Bangalore,3
30-04-2021 20:47,42,99,6.8,1283,92,13,Bangalore,3
30-04-2021 20:59,42,58,4.2,1283,92,13,Bangalore,3
30-04-2021 21:13,42,95,6.8,1283,92,13,Bangalore,3
30-04-2021 21:16,42,76,6.3,1283,92,13,Bangalore,3
30-04-2021 21:17,42,95,6.8,1283,92,13,Bangalore,3
30-04-2021 21:18,42,87,6.3,1283,92,13,Bangalore,3
30-04-2021 21:19,42,88,6.3,1283,92,13,Bangalore,3
30-04-2021 21:20,42,81,6.3,1283,92,13,Bangalore,3
30-04-2021 21:21,42,98,6.8,1283,92,13,Bangalore,3
30-04-2021 21:22,42,92,6.8,1283,92,13,Bangalore,3
30-04-2021 21:23,42,90,6.8,1283,92,13,Bangalore,3
30-04-2021 21:24,42,95,6.8,1283,92,13,Bangalore,3
30-04-2021 21:25,42,63,4.2,1283,92,13,Bangalore,3
30-04-2021 21:26,42,64,4.2,1283,92,13,Bangalore,3
30-04-2021 21:27,42,74,6.3,1283,92,13,Bangalore,3
30-04-2021 21:28,42,90,6.8,1283,92,13,Bangalore,3
30-04-2021 21:29,42,61,4.2,1283,92,13,Bangalore,3
30-04-2021 21:30,42,61,4.2,1283,92,13,Bangalore,3
30-04-2021 21:31,42,96,6.8,1283,92,13,Bangalore,3
30-04-2021 21:32,42,62,4.2,1283,92,13,Bangalore,3
30-04-2021 21:33,42,100,6.8,1283,92,13,Bangalore,3
30-04-2021 21:34,42,96,6.8,1283,92,13,Bangalore,3
30-04-2021 21:35,42,87,6.3,1283,92,13,Bangalore,3
30-04-2021 21:36,42,73,6.3,1283,92,13,Bangalore,3
30-04-2021 21:37,42,74,6.3,1283,92,13,Bangalore,3
30-04-2021 21:38,42,70,6.3,1283,92,13,Bangalore,3
30-04-2021 21:39,42,91,6.8,1283,92,13,Bangalore,3
30-04-2021 21:40,42,61,4.2,1283,92,13,Bangalore,3
30-04-2021 21:41,42,91,6.8,1283,92,13,Bangalore,3
30-04-2021 21:42,42,57,4.2,1283,92,13,Bangalore,3
30-04-2021 21:43,42,60,4.2,1283,92,13,Bangalore,3
30-04-2021 21:44,42,89,6.3,1283,92,13,Bangalore,3
30-04-2021 21:45,42,93,6.8,1283,92,13,Bangalore,3
30-04-2021 21:46,42,91,6.8,1283,92,13,Bangalore,3
30-04-2021 21:47,42,61,4.2,1283,92,13,Bangalore,3
30-04-2021 21:48,42,93,6.8,1283,92,13,Bangalore,3
30-04-2021 21:49,42,63,4.2,1283,92,13,Bangalore,3
30-04-2021 21:50,42,72,6.3,1283,92,13,Bangalore,3
30-04-2021 21:51,42,94,6.8,1283,92,13,Bangalore,3
30-04-2021 21:52,42,67,4.2,1283,92,13,Bangalore,3
30-04-2021 21:53,42,97,7.1,1376,92,13,Bangalore,3
30-04-2021 21:54,42,99,6.8,1376,92,13,Bangalore,3
30-04-2021 21:55,42,85,6.3,1376,92,13,Bangalore,3
30-04-2021 21:56,42,62,4.2,1376,92,13,Bangalore,3
30-04-2021 21:57,42,92,6.8,1376,92,13,Bangalore,3
30-04-2021 21:58,42,95,6.8,1376,92,13,Bangalore,3
30-04-2021 21:59,42,74,6.3,1376,92,13,Bangalore,3
30-04-2021 22:00,42,94,6.8,1376,92,13,Bangalore,3
30-04-2021 22:01,42,97,6.8,1376,92,13,Bangalore,3
30-04-2021 22:02,42,97,6.8,1376,92,13,Bangalore,3
30-04-2021 22:03,42,89,6.3,1376,92,13,Bangalore,3
30-04-2021 22:04,42,95,6.8,1376,92,13,Bangalore,3
30-04-2021 22:05,42,97,6.8,1376,92,13,Bangalore,3
30-04-2021 22:06,42,85,6.3,1376,92,13,Bangalore,3
30-04-2021 22:07,42,98,6.8,1376,92,13,Bangalore,3
30-04-2021 22:08,42,92,6.8,1376,92,13,Bangalore,3
30-04-2021 22:09,42,88,6.3,1376,92,13,Bangalore,3
30-04-2021 22:10,42,85,6.3,1376,92,13,Bangalore,3
30-04-2021 22:11,42,86,6.3,1376,92,13,Bangalore,3
30-04-2021 22:12,42,94,6.8,1376,92,13,Bangalore,3
30-04-2021 22:13,42,93,6.8,1376,92,13,Bangalore,3
30-04-2021 22:14,42,83,6.3,1376,92,13,Bangalore,3
30-04-2021 22:15,42,93,6.8,1376,92,13,Bangalore,3
30-04-2021 22:16,42,91,6.8,1376,92,13,Bangalore,3
30-04-2021 22:17,42,92,6.8,1376,92,13,Bangalore,3
30-04-2021 22:18,42,95,6.8,1376,92,13,Bangalore,3
30-04-2021 22:19,42,53,4.2,1376,92,13,Bangalore,3
30-04-2021 22:20,42,90,6.8,1376,92,13,Bangalore,3
30-04-2021 22:21,42,77,6.3,1376,92,13,Bangalore,3
30-04-2021 22:22,42,83,6.3,1376,92,13,Bangalore,3
30-04-2021 22:23,42,63,4.2,1376,92,13,Bangalore,3
30-04-2021 22:24,42,79,6.3,1376,92,13,Bangalore,3
30-04-2021 22:25,42,86,6.3,1376,92,13,Bangalore,3
30-04-2021 22:26,42,93,6.8,1376,92,13,Bangalore,3
30-04-2021 22:27,42,88,6.3,1376,92,13,Bangalore,3
30-04-2021 22:28,42,72,6.3,1376,92,13,Bangalore,3
30-04-2021 22:29,42,97,6.8,1376,92,13,Bangalore,3
30-04-2021 22:30,42,93,6.8,1376,92,13,Bangalore,3
30-04-2021 22:31,42,100,6.8,1376,92,13,Bangalore,3
30-04-2021 22:32,42,89,6.3,1376,92,13,Bangalore,3
30-04-2021 22:33,42,91,6.8,1376,92,13,Bangalore,3
30-04-2021 22:34,42,92,6.8,1376,92,13,Bangalore,3
30-04-2021 22:35,42,88,6.3,1376,92,13,Bangalore,3
30-04-2021 22:36,42,94,6.8,1376,92,13,Bangalore,3
30-04-2021 22:37,42,64,4.2,1376,92,13,Bangalore,3
30-04-2021 22:38,42,92,6.8,1376,92,13,Bangalore,3
30-04-2021 22:39,42,85,6.3,1376,92,13,Bangalore,3
30-04-2021 22:40,42,60,4.2,1376,92,13,Bangalore,3
30-04-2021 22:41,42,62,4.2,1376,92,13,Bangalore,3
30-04-2021 22:42,42,81,6.3,1376,92,13,Bangalore,3
30-04-2021 22:43,42,91,6.8,1376,92,13,Bangalore,3
30-04-2021 22:44,42,95,6.8,1376,92,13,Bangalore,3
30-04-2021 22:45,42,96,6.8,1376,92,13,Bangalore,3
30-04-2021 22:46,42,56,4.2,1376,92,13,Bangalore,3
30-04-2021 22:47,42,93,6.8,1376,92,13,Bangalore,3
30-04-2021 22:48,42,85,6.3,1376,92,13,Bangalore,3
30-04-2021 22:49,42,94,6.8,1376,92,13,Bangalore,3
30-04-2021 22:50,42,89,6.3,1376,92,13,Bangalore,3
30-04-2021 22:51,42,75,6.3,1376,92,13,Bangalore,3
30-04-2021 22:52,42,57,4.2,1376,92,13,Bangalore,3
30-04-2021 22:53,42,75,6.3,1376,92,13,Bangalore,3
30-04-2021 22:54,42,94,6.8,1376,92,13,Bangalore,3
30-04-2021 22:55,42,62,4.2,1376,92,13,Bangalore,3
30-04-2021 22:56,42,77,6.3,1376,92,13,Bangalore,3
30-04-2021 22:57,42,62,4.2,1376,92,13,Bangalore,3
30-04-2021 22:58,42,71,6.3,1376,92,13,Bangalore,3
30-04-2021 22:59,42,56,4.2,1376,92,13,Bangalore,3
30-04-2021 23:00,42,88,6.3,1376,92,13,Bangalore,3
30-04-2021 23:01,42,60,4.2,1376,92,13,Bangalore,3
30-04-2021 23:02,42,89,6.3,1376,92,13,Bangalore,3
30-04-2021 23:03,42,91,6.8,1376,92,13,Bangalore,3
30-04-2021 23:04,42,89,6.3,1376,92,13,Bangalore,3
30-04-2021 23:05,42,79,6.3,1376,92,13,Bangalore,3
30-04-2021 23:06,42,90,6.8,1376,92,13,Bangalore,3
30-04-2021 23:07,42,65,4.2,1376,92,13,Bangalore,3
30-04-2021 21:04,152,80,6.3,306,25,5,Bangalore,3
30-04-2021 21:05,152,83,6.3,306,25,5,Bangalore,3
30-04-2021 21:06,152,90,6.8,306,25,5,Bangalore,3
30-04-2021 21:07,152,84,6.3,306,25,5,Bangalore,3
30-04-2021 21:08,152,90,6.8,306,25,5,Bangalore,3
30-04-2021 21:09,152,87,6.3,306,25,5,Bangalore,3
30-04-2021 21:10,152,88,6.3,306,25,5,Bangalore,3
30-04-2021 21:11,152,93,6.8,306,25,5,Bangalore,3
30-04-2021 21:12,152,76,6.3,306,25,5,Bangalore,3
30-04-2021 21:13,152,96,6.8,306,25,5,Bangalore,3
30-04-2021 21:14,152,91,6.8,306,25,5,Bangalore,3
30-04-2021 21:15,152,86,6.3,306,25,5,Bangalore,3
30-04-2021 21:16,152,87,6.3,306,25,5,Bangalore,3
30-04-2021 21:17,152,88,6.3,306,25,5,Bangalore,3
30-04-2021 21:18,152,88,6.3,306,25,5,Bangalore,3
30-04-2021 21:19,152,87,6.3,306,25,5,Bangalore,3
30-04-2021 21:20,152,89,6.3,306,25,5,Bangalore,3
30-04-2021 21:21,152,84,6.3,306,25,5,Bangalore,3
30-04-2021 21:22,152,89,6.3,306,25,5,Bangalore,3
30-04-2021 21:23,152,88,6.3,306,25,5,Bangalore,3
30-04-2021 21:24,152,80,6.3,306,25,5,Bangalore,3
30-04-2021 21:25,152,74,6.3,306,25,5,Bangalore,3
30-04-2021 21:26,152,85,6.3,306,25,5,Bangalore,3
30-04-2021 21:27,152,84,6.3,306,25,5,Bangalore,3
30-04-2021 21:28,152,85,6.3,306,25,5,Bangalore,3
30-04-2021 21:29,152,87,6.3,306,25,5,Bangalore,3
30-04-2021 21:30,152,88,6.3,306,25,5,Bangalore,3
30-04-2021 21:31,152,88,6.3,306,25,5,Bangalore,3
30-04-2021 21:32,152,90,6.8,306,25,5,Bangalore,3
30-04-2021 21:33,152,83,6.3,306,25,5,Bangalore,3
30-04-2021 21:34,152,95,6.8,306,25,5,Bangalore,3
30-04-2021 21:35,152,87,6.3,306,25,5,Bangalore,3
